ID ( = no data),Continent,ISO code (Code ISO 3166.1),Country,State code,Area,City,Name,2nd name,Latitude (WGS84),Longitude (WGS84),Altitude/Depth (m),Location accuracy (Yes = accurate location),Offshore - Shore distance (km),Manufacturer,Turbine,Hub height (m),Number of turbines,Total power (kW),Developer,Operator,Owner,Commissioning date (Format: yyyy or yyyymm),Status,Update
10354,Asia,CN,China,,Offshore,,Hainan Dongfang Offshore Windfarm,,19.1,108.5,-20,No,Yes (15 km),,,,,350000,China Guodian,,China Guodian,,Approved,23/05/2018
10384,Europe,DK,Denmark,,Offshore,,Vesterhavet Nord,,56.62,8.5,-20,No,Yes (5 km),Siemens-Gamesa,SG 8.0-167 DD,,20,160000,Vattenfall,Vattenfall,Vattenfall,,Approved,13/06/2018
10385,Asia,JP,Japan,,Offshore,,Omaezaki,,34.63,138.23,-10,No,Yes (3 km),,,,,40500,,Shizuoka prefecture,Shizuoka prefecture,,Planned,16/01/2018
10435,Europe,DK,Denmark,,Offshore,,Vesterhavet Syd,,56.7,7.99,-20,No,Yes (5 km),Siemens-Gamesa,SG 8.0-167 DD,,21,168000,Vattenfall,Vattenfall,Vattenfall,,Approved,13/06/2018
10436,Europe,NO,Norway,,Offshore,,Hywind Metcentre,,59.14,5.3,-220,Yes,Yes (10 km),Siemens,SWT-2.3-93,65,1,2300,Statoil/Siemens,Statoil,Statoil,2009/06,Production,8/6/2018
10526,Europe,GB,United-Kingdom,,Offshore,,Lincs,,53.191,0.491,-10,No,Yes (8 km),Siemens,SWT-3.6-107,100,75,270000,Centrica/Orsted/Siemens/RES,Centrica,Green Investment Bank/Orsted,2013/09,Production,16/02/2018
10657,Europe,SE,Sweden,,Offshore,,Nogersund,,56.3018476373,14.7416085004806,80,Yes,Yes,Wind World,W2500/220,38,0,0,E.ON Climate Renewables,,,1990,Dismantled,15/01/2018
10661,Asia,CN,China,,Offshore,,Guodian Nanao Offshore wind farm,,23.5,117.3,-17,No,Yes,,,,,200000,China Guodian,,China Guodian,,Planned,7/1/2016
10663,Europe,DE,Germany,,Offshore,,Emden,Enova,53.37,7.21,5,No,Yes,Enercon,E112/4500,116,1,4500,Enova/Enercon/EWE,EWE,EWE,2004/10,Production,13/02/2018
10664,Europe,GB,United-Kingdom,,Offshore,,Beatrice,,58.303716913952,-2.691650390625,-53,No,Yes (25 km),Repower,5M,107,0,0,Scottish & Southern/Talisman Energy,,,2007/07,Dismantled,16/02/2018
10665,Europe,GB,United-Kingdom,,Offshore,,Rhyl Flats,,53.38,-3.646,-10,No,Yes (9 km),Siemens,SWT-3.6-107,75,25,90000,West Coast Energy/RWE,RWE,RWE/Green Investment Bank/Greencoat UK Wind,2009/12,Production,16/02/2018
10666,Europe,DK,Denmark,,Offshore,,Vindeby-Lolland,,54.97,11.13,-3,Yes,Yes (2 km),Bonus,B35/450,38,0,0,SEAS NVE,,,1991/09,Dismantled,13/06/2018
10667,Asia,CN,China,,Offshore,,Huadian Nanao Offshore wind farm,,23.4,117.3,-28,No,Yes,,,,,200000,,,,,Planned,7/1/2016
10668,Europe,DK,Denmark,,Offshore,,Frederikshavn,,57.4449105,10.5602703,-3,Yes,Yes (3 km),Nordex,N90/2300,80,1,2300,Orsted,SE Blue Renewables,SE Blue Renewables,2003/06,Production,4/7/2018
10669,Europe,DK,Denmark,,Offshore,,Frederikshavn,,57.4449105,10.5602703,-3,Yes,Yes (3 km),Vestas,V90/3000,80,1,3000,Orsted,SE Blue Renewables,SE Blue Renewables,2003/06,Production,4/7/2018
10670,Europe,DK,Denmark,,Offshore,,Frederikshavn,,57.4449105,10.5602703,-3,Yes,Yes (3 km),Bonus,B82/2300,80,1,2300,Orsted,SE Blue Renewables,SE Blue Renewables,2003/04,Production,4/7/2018
10682,Europe,GB,United-Kingdom,,Offshore,,Kentish Flats 2,,51.45,1.79,-4,No,Yes (9 km),Vestas,V112/3300,84,15,49500,Vattenfall,Vattenfall,Vattenfall,2015/12,Production,16/02/2018
10683,Europe,FI,Finland,,Offshore,,Pori-Tahkoluoto,Extension,61.67,21.26,-6,No,Yes (14 km),,,,,,Suomen Hyotytuuli Oy,Suomen Hyotytuuli Oy,Suomen Hyotytuuli Oy,,Planned,12/6/2018
10684,Europe,GB,United-Kingdom,,Offshore,,Burbo Bank,Extension,53.483,-3.273,-10,No,Yes (9 km),Vestas,V164/8000,123,32,256000,Orsted,Orsted,Orsted/PKA/Kirkbi,2016/12,Production,16/02/2018
10687,Europe,DK,Denmark,,Offshore,,Anholt,,56.6,11.21,-15,No,Yes (20 km),Siemens,SWT-3.6-120,120,111,399600,Orsted,Orsted,Orsted/PensionDanmark/,2012/09,Production,29/06/2018
10772,Asia,CN,China,,Offshore,,Daishan 2# offshore wind farm,,30.2,122.4,-15,No,Yes,,,,,200000,,,,,Planned,7/1/2016
10776,Europe,GB,United-Kingdom,,Offshore,,Dogger Bank Creyke Beck A,,54.77,1.91,-25,No,Yes (140 km),,,,200,1200000,Forewind Consortia,,Statoil/Scottish & Southern,,Approved,18/06/2018
10777,Asia,CN,China,,Offshore,,Daishan 3# offshore wind farm,,30.45,121.66,-10,No,Yes (33 km),,,,,400000,,,,,Planned,22/05/2018
10778,America,CA,Canada,,Offshore,,Great Lakes Array,,41.94,-81.85,-25,No,Yes (38 km),Vestas,,,,1600000,Trillium Power Wind Corporation,,Trillium Power Wind Corporation,,Planned,11/6/2018
10781,America,CA,Canada,,Offshore,,NaiKun Wind,Haida Energy Field,53.93,-131.48,-10,No,Yes (12 km),Siemens,SWT-4.0-130,,100,400000,NaiKun,,Enmax Corporation/Orsted,,Approved,11/6/2018
10782,Europe,IE,Ireland,,Offshore,,Skerd Rocks,Sceirde Rocks,53.28,-9.96,-16,No,Yes (6 km),,,80,20,100000,Fuinneamh Sceirde Teoranta,,Fuinneamh Sceirde Teoranta,,Planned,10/1/2018
10783,America,CA,Canada,,Offshore,,Superior Array,,47.35,-85.93,-40,No,Yes (70 km),Vestas,,,,650000,Trillium Power Wind Corporation,,Trillium Power Wind Corporation,,Planned,11/6/2018
10784,America,CA,Canada,,Offshore,,Trillium Power Wind 1,,43.9,-76.66,57,No,Yes (17 km),Vestas,,,110,480000,Trillium Power Wind Corporation,,Trillium Power Wind Corporation,,Planned,11/6/2018
